Shipment_ID,Order_Date,Dispatch_Hour,Warehouse_ID,Region,Carrier_Type,Expected_Delivery_Hours
SHP200066,2024-05-07,0,WH_W2,South,Road,23.280568029883288
SHP200067,2024-06-08,1,WH_E1,North,Air,23.29249909683934
SHP200068,2024-05-10,17,WH_W2,North,Road,21.455740952442184
SHP200069,2024-03-24,21,WH_S1,East,Air,23.95601965834792
SHP200070,2024-06-27,3,WH_N1,South,Road,21.549434618340413
SHP200071,2024-05-26,9,WH_W1,East,Air,22.5311598210831
SHP200072,2024-01-22,16,WH_W2,West,Air,22.81454401380664
SHP200073,2024-04-29,15,WH_N1,West,Road,23.002016403782953
SHP200074,2024-03-08,10,WH_N1,West,Road,18.638083125664142
SHP200075,2024-02-17,21,WH_W1,East,Air,33.36282350980829
SHP200076,2024-01-17,23,WH_E1,East,Road,23.729553762774636
SHP200077,2024-01-13,17,WH_N2,West,Road,22.70883473019042
SHP200078,2024-04-03,7,WH_N1,South,Air,30.115123988087724
SHP200079,2024-04-17,20,WH_N1,West,Road,25.867851240827164
SHP200080,2024-05-17,0,WH_W1,North,Road,33.42903566880081
SHP200081,2024-03-17,1,WH_S1,West,Road,23.990822045938277
SHP200082,2024-03-08,3,WH_E1,South,Road,28.156703846341895
SHP200083,2024-04-20,22,WH_W1,West,Air,19.743476573986467
SHP200084,2024-05-22,0,WH_W2,South,Road,27.982524027007806
SHP200085,2024-05-04,17,WH_W1,West,Road,19.294084601500593
SHP200086,2024-01-21,10,WH_W2,North,Air,24.76687850690874
SHP200087,2024-02-23,15,WH_S1,West,Road,32.716009229843976
SHP200088,2024-05-23,14,WH_S1,East,Air,32.16140724790343
SHP200089,2024-02-29,0,WH_W1,West,Air,22.28293873382606
SHP200090,2024-02-05,2,WH_N1,West,Road,29.778115298445115
SHP200091,2024-02-18,8,WH_W1,North,Road,30.369417836333568
SHP200092,2024-01-05,22,WH_E1,North,Road,25.585673328677647
SHP200093,2024-02-13,23,WH_W1,East,Road,22.310094096686594
SHP200094,2024-02-24,22,WH_W2,West,Road,30.945688419680753
SHP200095,2024-02-13,19,WH_N1,South,Air,21.38268973589878
SHP200096,2024-06-27,7,WH_W1,East,Road,30.74953837155367
SHP200097,2024-02-09,13,WH_W1,South,Road,20.56103323616842
SHP200098,2024-05-11,6,WH_N1,North,Road,28.488142201179617
SHP200099,2024-06-06,2,WH_N1,West,Air,15.420140334959292
SHP200100,2024-05-20,16,WH_W1,South,Road,28.643653503540275
SHP200101,2024-03-20,9,WH_S1,West,Road,24.70343717116296
SHP200102,2024-01-30,4,WH_S1,West,Air,28.654188595059896
SHP200103,2024-05-16,23,WH_W2,West,Air,19.567631406388877
SHP200104,2024-02-24,19,WH_N1,South,Road,26.684930202373973
SHP200105,2024-06-15,2,WH_E1,South,Air,19.577174472658616
SHP200106,2024-04-27,19,WH_E1,West,Road,19.549221731750414
SHP200107,2024-05-29,7,WH_N1,West,Road,22.365954742257674
SHP200108,2024-02-14,18,WH_W1,North,Air,26.209390386279136
SHP200109,2024-05-15,19,WH_S1,West,Air,29.636079571514784
SHP200110,2024-04-10,19,WH_N1,West,Road,27.469872264134224
SHP200111,2024-06-18,22,WH_W1,West,Road,19.54720006236959
SHP200112,2024-01-30,23,WH_S1,East,Road,21.466577248962373
SHP200113,2024-01-27,6,WH_W1,North,Road,19.144706379609566
SHP200114,2024-03-05,3,WH_E1,West,Road,22.908440177304012
SHP200115,2024-01-13,9,WH_S1,West,Road,30.9486222796221
SHP200116,2024-05-14,11,WH_W2,South,Road,16.557556486722547
SHP200117,2024-06-11,13,WH_N2,West,Road,18.87930931625479
SHP200118,2024-04-16,5,WH_W1,South,Air,25.410673441195208
SHP200119,2024-04-20,12,WH_E1,North,Air,18.420426041434457
SHP200120,2024-04-26,13,WH_S1,East,Air,25.029914333708273
SHP200121,2024-04-03,12,WH_W1,South,Road,25.78368395381101
SHP200122,2024-01-18,11,WH_N1,West,Air,14.935133895801052
SHP200123,2024-01-06,3,WH_E1,South,Air,21.91188877698023
SHP200124,2024-03-20,9,WH_W2,West,Road,26.890445683115534
SHP200125,2024-02-19,5,WH_N2,South,Road,26.59874852199397
SHP200126,2024-03-17,2,WH_S1,South,Road,24.20013947587093
SHP200127,2024-04-15,18,WH_N1,South,Road,29.26894233000271
SHP200128,2024-06-24,8,WH_W1,West,Road,33.18515242978222
SHP200129,2024-06-14,14,WH_W1,North,Air,24.858560143796545
SHP200130,2024-03-28,21,WH_W1,East,Road,23.653718688211264
SHP200131,2024-05-29,6,WH_N2,North,Road,15.603657878532973
SHP200132,2024-01-05,12,WH_S1,North,Road,23.633074307054592
SHP200133,2024-03-17,2,WH_W1,South,Road,29.07067732736612
SHP200134,2024-03-16,11,WH_W1,West,Road,24.90815508665644
SHP200135,2024-01-07,14,WH_N1,South,Road,22.379107775000616
SHP200136,2024-04-30,23,WH_W2,South,Air,20.659092826101364
SHP200137,2024-03-26,17,WH_S1,North,Air,20.759888005062884
SHP200138,2024-06-07,8,WH_N2,South,Road,21.101261745195004
SHP200139,2024-04-17,1,WH_E1,East,Road,25.314492946863577
SHP200140,2024-02-26,14,WH_E1,East,Road,21.9959184478673
SHP200141,2024-02-21,3,WH_W1,West,Road,18.992585454113723
SHP200142,2024-05-01,13,WH_S1,West,Air,19.15530922383769
SHP200143,2024-05-20,0,WH_E1,West,Air,19.833789481988543
SHP200144,2024-03-17,10,WH_E1,West,Road,31.744448149188774
SHP200145,2024-04-19,9,WH_N1,West,Road,25.26529568629426
SHP200146,2024-06-13,16,WH_S1,South,Road,34.30714936132518
SHP200147,2024-03-26,4,WH_W2,South,Road,23.805049843799356
SHP200148,2024-02-11,14,WH_W2,East,Road,21.088772595406542
SHP200149,2024-05-23,17,WH_W2,West,Air,24.91579536791185
SHP200150,2024-02-13,0,WH_N2,West,Road,20.065960428505953
SHP200151,2024-02-29,12,WH_N2,North,Road,23.219392229725678
SHP200152,2024-03-23,15,WH_N1,North,Air,24.386835570875444
SHP200153,2024-03-04,4,WH_W2,North,Road,28.571076625846935
SHP200154,2024-06-05,7,WH_W1,West,Air,23.84003765625316
SHP200155,2024-05-24,4,WH_S1,West,Air,25.936051274402832
SHP200156,2024-05-13,16,WH_E1,North,Air,23.387252233439217
SHP200157,2024-02-05,12,WH_W2,South,Road,23.121327359132227
SHP200158,2024-03-18,19,WH_N2,West,Air,28.485475549864095
SHP200159,2024-02-02,13,WH_W1,North,Air,23.893261953517094
SHP200160,2024-04-27,13,WH_W2,North,Road,20.148486271963648
SHP200161,2024-06-10,11,WH_W1,East,Road,19.589357509992848
SHP200162,2024-02-15,20,WH_N1,South,Air,24.212627635737046
SHP200163,2024-06-17,15,WH_N1,North,Air,25.088817324141896
SHP200164,2024-04-26,7,WH_N2,North,Road,25.98754412420024
SHP200165,2024-05-22,10,WH_N2,East,Road,24.690103065878017
SHP200166,2024-02-15,14,WH_W2,West,Air,17.97553706423759
SHP200167,2024-04-15,17,WH_N2,North,Air,20.287793818109574
SHP200168,2024-02-12,8,WH_N2,South,Road,22.307515697251283
SHP200169,2024-04-06,8,WH_N1,East,Road,27.877478673657627
SHP200170,2024-02-04,7,WH_S1,South,Air,28.25057776484701
SHP200171,2024-04-05,11,WH_E1,East,Air,21.840164036385694
SHP200172,2024-04-22,20,WH_W1,West,Road,28.465076322989606
SHP200173,2024-05-26,8,WH_N2,West,Road,21.446468001096967
SHP200174,2024-01-10,1,WH_S1,West,Air,25.17471685585358
SHP200175,2024-01-14,17,WH_W2,North,Road,25.942872335796025
SHP200176,2024-03-26,19,WH_S1,West,Road,12.703258260159878
SHP200177,2024-06-20,19,WH_E1,North,Road,27.837349737451923
SHP200178,2024-01-02,21,WH_N1,North,Road,24.565986156806098
SHP200179,2024-02-01,12,WH_W1,North,Road,15.315573703140561
SHP200180,2024-05-22,17,WH_W1,South,Road,25.203272731189262
SHP200181,2024-02-18,8,WH_N1,West,Road,18.92827101489014
SHP200182,2024-06-02,20,WH_W1,West,Road,25.86001600291533
SHP200183,2024-06-10,15,WH_N1,South,Road,30.709811402548034
SHP200184,2024-03-23,11,WH_S1,East,Road,19.21549198812669
SHP200185,2024-03-05,22,WH_S1,West,Air,35.64942067696983
SHP200186,2024-02-28,6,WH_S1,North,Road,24.7779428997238
SHP200187,2024-01-11,6,WH_W1,West,Air,28.72743343247466
SHP200188,2024-01-28,16,WH_N1,West,Road,27.615674287902642
SHP200189,2024-06-05,0,WH_E1,East,Road,22.201251337020373
SHP200190,2024-01-09,20,WH_W2,East,Road,29.16875165661688
SHP200191,2024-04-10,8,WH_W1,South,Road,19.939292680309798
SHP200192,2024-06-21,3,WH_W1,North,Road,17.40869199188247
SHP200193,2024-06-28,23,WH_N2,West,Air,27.59850691951764
SHP200194,2024-02-24,19,WH_W2,West,Road,16.858859948924174
SHP200195,2024-02-12,4,WH_E1,West,Road,21.60341482378603
SHP200196,2024-04-02,19,WH_E1,West,Road,21.225855769909334
SHP200197,2024-01-08,6,WH_N2,West,Air,23.449322869298317
SHP200198,2024-05-23,2,WH_S1,South,Air,25.516077822372033
SHP200199,2024-05-08,16,WH_N1,South,Air,28.594759799256302
SHP200200,2024-06-25,21,WH_W1,South,Road,26.128193629257986
SHP200201,2024-02-14,12,WH_N2,East,Air,22.814506293472988
SHP200202,2024-01-10,18,WH_N2,North,Air,12.2430617451582
SHP200203,2024-02-16,22,WH_E1,North,Road,29.26535203595239
SHP200204,2024-06-25,8,WH_W1,North,Road,30.567029714821146
SHP200205,2024-05-07,2,WH_W2,North,Air,25.813455298523195
SHP200206,2024-06-20,22,WH_E1,North,Road,21.275484486616794
SHP200207,2024-01-06,11,WH_S1,South,Road,33.1478150066372
SHP200208,2024-05-29,8,WH_S1,South,Road,21.987424522975296
SHP200209,2024-05-24,1,WH_S1,West,Road,23.507500164921804
SHP200210,2024-01-12,5,WH_S1,South,Road,24.81840667284618
SHP200211,2024-04-16,16,WH_W2,South,Road,20.36486184058523
SHP200212,2024-06-09,20,WH_W1,West,Air,20.423801317789362
SHP200213,2024-02-10,15,WH_W1,East,Road,25.49275959926723
SHP200214,2024-02-06,11,WH_N1,West,Road,26.463676283859115
SHP200215,2024-03-10,6,WH_W2,East,Road,28.434965878929837
SHP200216,2024-06-05,19,WH_N1,South,Road,24.425331654264074
SHP200217,2024-04-17,15,WH_S1,East,Road,27.199568274341868
SHP200218,2024-04-03,4,WH_S1,North,Road,26.93451305845952
SHP200219,2024-02-19,18,WH_W1,East,Road,20.880861873245877
SHP200220,2024-03-02,10,WH_E1,West,Road,26.284261363451453
SHP200221,2024-04-20,15,WH_E1,South,Road,18.272109671995334
SHP200222,2024-05-15,0,WH_E1,North,Air,28.211717313637116
SHP200223,2024-04-02,6,WH_E1,North,Road,26.487613909355556
SHP200224,2024-02-28,11,WH_E1,West,Air,31.180733866391606
SHP200225,2024-06-27,22,WH_W2,South,Road,23.79931149929737
SHP200226,2024-06-25,14,WH_W2,North,Road,27.167436292467034
SHP200227,2024-03-19,4,WH_N1,South,Road,18.174085274051013
SHP200228,2024-02-17,8,WH_S1,North,Air,24.709875944977178
SHP200229,2024-05-06,6,WH_W2,West,Air,16.825788041686195
SHP200230,2024-04-15,3,WH_E1,South,Road,24.18565661615631
SHP200231,2024-03-18,13,WH_W1,South,Air,21.3048055112165
SHP200232,2024-01-25,17,WH_N2,East,Road,23.80057789530589
SHP200233,2024-03-08,10,WH_N1,West,Road,22.070506530253976
SHP200234,2024-05-15,8,WH_N1,East,Air,23.671258327277695
SHP200235,2024-02-19,18,WH_W1,North,Air,19.247765072473527
SHP200236,2024-06-09,15,WH_S1,North,Road,30.285085913162018
SHP200237,2024-02-03,1,WH_N2,North,Road,18.484350267843496
SHP200238,2024-03-16,11,WH_N1,North,Air,26.791173864969437
SHP200239,2024-04-01,7,WH_N1,North,Road,23.34021431522176
SHP200240,2024-03-09,2,WH_W1,North,Air,25.984352976183253
SHP200241,2024-04-05,7,WH_W2,South,Road,25.225314732922886
SHP200242,2024-05-05,4,WH_N1,North,Air,20.95463306767376
SHP200243,2024-03-02,23,WH_S1,East,Road,21.314673275228834
SHP200244,2024-04-04,23,WH_W2,North,Air,21.713559072510225
SHP200245,2024-03-19,17,WH_W1,West,Air,27.06554948196401
SHP200246,2024-04-18,5,WH_N1,East,Road,14.30954638395165
SHP200247,2024-06-20,10,WH_W1,West,Road,22.759574419558017
SHP200248,2024-03-17,6,WH_N2,West,Air,22.554246622457605
SHP200249,2024-05-24,15,WH_E1,East,Road,22.035034234410805
SHP200250,2024-04-23,7,WH_E1,West,Road,22.94323506249205
SHP200251,2024-05-02,20,WH_E1,North,Road,20.4084417969483
SHP200252,2024-06-03,22,WH_S1,East,Air,25.3601954157711
SHP200253,2024-05-04,8,WH_N2,West,Road,19.707283744189716
SHP200254,2024-04-07,8,WH_N1,West,Air,22.68473832150443
SHP200255,2024-01-09,4,WH_N1,South,Road,26.027125642620806
SHP200256,2024-04-04,22,WH_S1,East,Air,25.98549722679954
SHP200257,2024-04-07,17,WH_E1,West,Road,25.175070860569626
SHP200258,2024-05-30,2,WH_N1,West,Air,23.50113421497382
SHP200259,2024-02-04,3,WH_W1,West,Air,27.293480700405322
SHP200260,2024-01-13,8,WH_N1,South,Road,24.475406883178426
SHP200261,2024-01-05,15,WH_W2,South,Road,23.280338563443348
SHP200262,2024-02-14,14,WH_N2,West,Road,22.438602111078037
SHP200263,2024-02-25,8,WH_S1,West,Road,29.0242135093901
SHP200264,2024-01-21,15,WH_S1,South,Road,27.114757879401253
SHP200265,2024-02-13,11,WH_S1,North,Air,15.335623624817963
SHP200266,2024-06-26,8,WH_W1,West,Air,22.509353778365135
SHP200267,2024-01-19,6,WH_S1,North,Road,24.17640069969297
SHP200268,2024-05-29,16,WH_W2,East,Road,15.177871145546781
SHP200269,2024-06-27,13,WH_N1,South,Road,24.573217675667262
SHP200270,2024-05-01,18,WH_W1,North,Road,23.539302469607875
SHP200271,2024-05-30,8,WH_W2,West,Air,28.14493592768052
SHP200272,2024-01-19,11,WH_S1,East,Road,27.92039500912378
SHP200273,2024-04-13,1,WH_W1,West,Road,27.97620954834494
SHP200274,2024-01-06,7,WH_N2,West,Air,21.81756889416121
SHP200275,2024-05-13,7,WH_S1,West,Road,17.49589460703882
SHP200276,2024-03-11,22,WH_N1,North,Road,23.04972501856085
SHP200277,2024-06-06,14,WH_N1,South,Air,22.104357394534787
SHP200278,2024-05-24,22,WH_E1,West,Air,29.125840969724955
SHP200279,2024-06-19,18,WH_W2,West,Air,22.47800057037045
SHP200280,2024-06-23,11,WH_W2,East,Road,18.11423798843984
SHP200281,2024-03-09,19,WH_W2,East,Road,26.821942947477158
SHP200282,2024-04-12,17,WH_S1,North,Road,19.727027184431343
SHP200283,2024-05-20,2,WH_N1,North,Road,20.018419950897115
SHP200284,2024-02-24,15,WH_W1,West,Air,20.73151629455719
SHP200285,2024-03-29,3,WH_N2,West,Road,24.16023198600957
SHP200286,2024-04-01,12,WH_E1,North,Road,20.92378854320396
SHP200287,2024-01-17,4,WH_W1,East,Road,17.25093580269629
SHP200288,2024-05-04,13,WH_W2,South,Road,29.517241398237115
SHP200289,2024-05-13,16,WH_W2,East,Air,21.62817388560009
SHP200290,2024-04-14,11,WH_S1,West,Road,23.916396163626235
SHP200291,2024-04-03,16,WH_S1,West,Road,26.98991635819091
SHP200292,2024-03-14,17,WH_W1,North,Air,25.44556176280921
SHP200293,2024-06-21,19,WH_W1,South,Road,27.04952798100192
SHP200294,2024-02-09,16,WH_S1,South,Road,26.974556876415523
SHP200295,2024-05-10,14,WH_S1,East,Road,25.627246123636485
SHP200296,2024-02-07,23,WH_N1,South,Road,23.509601521785516
SHP200297,2024-03-27,4,WH_N2,East,Road,23.913055225465985
SHP200298,2024-02-16,20,WH_W2,North,Road,19.53688746193213
SHP200299,2024-01-10,23,WH_W2,South,Road,16.448587686883755
SHP200300,2024-06-12,7,WH_N1,North,Road,20.82110355675879
SHP200301,2024-01-16,17,WH_W2,East,Road,26.11996886372355
SHP200302,2024-05-28,18,WH_S1,North,Road,23.533966758546082
SHP200303,2024-06-09,5,WH_E1,East,Road,19.692448390135986
SHP200304,2024-04-09,10,WH_N2,South,Air,24.451272574184735
SHP200305,2024-05-29,2,WH_N1,North,Air,24.038072882893136
SHP200306,2024-05-08,0,WH_N2,West,Air,23.06915323642252
SHP200307,2024-02-03,23,WH_N1,North,Road,23.911433205855666
SHP200308,2024-01-22,16,WH_E1,East,Air,16.30130243130285
SHP200309,2024-03-07,7,WH_N2,North,Air,22.282366557761726
SHP200310,2024-01-12,17,WH_W2,South,Road,25.13741208622978
SHP200311,2024-02-17,4,WH_E1,North,Air,20.306127346669477
SHP200312,2024-05-19,20,WH_W2,North,Road,28.985270103639905
SHP200313,2024-02-06,13,WH_E1,North,Road,19.73805962411539
SHP200314,2024-06-20,2,WH_N1,West,Road,24.854939337715734
SHP200315,2024-02-23,19,WH_S1,South,Air,27.65379935330692
SHP200316,2024-01-08,0,WH_W2,North,Air,30.743167288164287
SHP200317,2024-05-29,4,WH_S1,West,Air,22.656489654810613
SHP200318,2024-05-06,0,WH_N2,South,Road,35.67216797493574
SHP200319,2024-01-20,20,WH_N1,North,Road,17.157295492755267
SHP200320,2024-03-27,0,WH_E1,South,Air,19.637687178382585
SHP200321,2024-02-15,18,WH_W2,North,Road,27.532915452660024
SHP200322,2024-06-27,0,WH_N2,North,Road,28.844396399755972
SHP200323,2024-05-06,16,WH_W1,West,Road,32.000183672889
SHP200324,2024-03-22,3,WH_W2,East,Road,25.2856697036536
SHP200325,2024-02-03,20,WH_E1,South,Air,23.137604013553048
SHP200326,2024-01-09,13,WH_N1,West,Road,27.262504186798317
SHP200327,2024-04-26,17,WH_S1,West,Road,21.785581260589435
SHP200328,2024-01-19,8,WH_S1,North,Air,21.340902067039348
SHP200329,2024-03-22,23,WH_N2,South,Road,20.892026966107505
SHP200330,2024-04-13,22,WH_N2,South,Road,30.61880558802309
SHP200331,2024-05-08,9,WH_W2,North,Road,27.09907885029156
SHP200332,2024-03-13,3,WH_N2,West,Air,24.157766396813614
SHP200333,2024-05-21,8,WH_N1,West,Air,26.966473797175443
SHP200334,2024-06-01,12,WH_W1,East,Road,17.408454765197543
SHP200335,2024-01-13,20,WH_N2,South,Road,24.705902054743962
SHP200336,2024-06-26,22,WH_W1,East,Road,27.17976043894756
SHP200337,2024-05-04,11,WH_W2,South,Road,25.817731928129536
SHP200338,2024-04-06,2,WH_W1,East,Road,22.48867475164023
SHP200339,2024-03-22,23,WH_S1,South,Road,28.400329160181244
SHP200340,2024-05-09,7,WH_W1,North,Air,22.772747432616654
SHP200341,2024-02-07,3,WH_S1,West,Air,20.777869265070397
SHP200342,2024-02-07,21,WH_N2,East,Air,24.765846014796836
SHP200343,2024-04-01,23,WH_S1,East,Air,30.887614446703527
SHP200344,2024-02-13,3,WH_W1,East,Road,22.079831798715023
SHP200345,2024-06-27,6,WH_N2,East,Road,25.37245396915181
SHP200346,2024-03-25,11,WH_N2,West,Air,24.905914600759765
SHP200347,2024-04-21,18,WH_N2,North,Air,22.287893542158002
SHP200348,2024-05-16,1,WH_S1,West,Road,28.54663866469714
SHP200349,2024-03-03,20,WH_E1,West,Road,27.025381860051688
SHP200350,2024-03-25,2,WH_N2,South,Air,25.465278007188083
SHP200351,2024-02-27,15,WH_W1,South,Road,24.74620753441754
SHP200352,2024-05-07,15,WH_W1,South,Road,21.419751235246224
SHP200353,2024-06-25,0,WH_S1,South,Road,22.478568206759903
SHP200354,2024-06-09,22,WH_N2,South,Road,21.581418973772497
SHP200355,2024-05-02,5,WH_W2,North,Air,27.386413129531874
SHP200356,2024-03-07,19,WH_S1,South,Road,27.272020191096193
SHP200357,2024-05-30,23,WH_S1,South,Air,25.300092283543464
SHP200358,2024-05-04,20,WH_W1,South,Air,31.17383351469539
SHP200359,2024-06-18,14,WH_W2,North,Air,15.400796899211839
SHP200360,2024-01-29,22,WH_S1,East,Road,33.02623646858308
SHP200361,2024-03-20,17,WH_W2,North,Road,26.16666055308021
SHP200362,2024-06-22,17,WH_W2,North,Road,27.62015296203287
SHP200363,2024-04-12,9,WH_S1,West,Air,20.741245504344192
SHP200364,2024-03-14,8,WH_W2,East,Air,19.447926975640936
SHP200365,2024-04-15,11,WH_S1,North,Road,24.27451806782429
SHP200366,2024-02-11,22,WH_E1,North,Air,22.47351921854334
SHP200367,2024-02-06,11,WH_W1,West,Road,21.468744630159176
SHP200368,2024-06-17,15,WH_S1,South,Air,22.834176925252695
SHP200369,2024-01-13,18,WH_W2,West,Road,28.16788937703788
SHP200370,2024-04-08,16,WH_N1,West,Road,32.35675107278664
SHP200371,2024-06-13,3,WH_W2,West,Road,27.734209198228324
SHP200372,2024-03-27,9,WH_W2,West,Road,23.94963748239026
SHP200373,2024-02-29,2,WH_N1,East,Road,17.13561713895995
SHP200374,2024-03-20,18,WH_W2,West,Road,19.16180933534692
SHP200375,2024-05-11,18,WH_E1,West,Road,31.036625060200883
SHP200376,2024-06-14,23,WH_N2,North,Air,16.501036896082265
SHP200377,2024-04-24,4,WH_S1,West,Road,23.341379085951836
SHP200378,2024-03-27,7,WH_E1,South,Road,20.929588626861037
SHP200379,2024-06-23,11,WH_S1,East,Road,27.41442296715397
SHP200380,2024-01-15,2,WH_S1,North,Road,19.025623424382154
SHP200381,2024-05-27,1,WH_S1,West,Road,20.21499861423394
SHP200382,2024-06-27,6,WH_N2,West,Road,23.836187831474465
SHP200383,2024-04-18,20,WH_E1,North,Road,27.74614681359759
SHP200384,2024-02-07,2,WH_W2,South,Road,29.912839530198475
SHP200385,2024-02-27,11,WH_N2,West,Road,25.890805808497078
SHP200386,2024-03-28,3,WH_W2,West,Road,20.679968002796777
SHP200387,2024-03-10,8,WH_W2,North,Air,17.578152038533645
SHP200388,2024-01-12,23,WH_N1,East,Road,19.901731426198236
SHP200389,2024-01-27,18,WH_S1,North,Road,20.196658206215634
SHP200390,2024-02-04,15,WH_S1,East,Road,20.35347020248493
SHP200391,2024-03-21,21,WH_S1,West,Road,23.01210651129538
SHP200392,2024-02-11,10,WH_W1,North,Air,20.23485736204671
SHP200393,2024-03-24,0,WH_W1,North,Air,23.059557492185263
SHP200394,2024-02-04,0,WH_N1,West,Road,23.987416661692215
SHP200395,2024-03-15,6,WH_E1,West,Air,22.62275060817067
SHP200396,2024-03-09,18,WH_N2,North,Air,25.202233130503007
SHP200397,2024-01-05,12,WH_E1,South,Road,26.71137883585969
SHP200398,2024-04-14,13,WH_W2,West,Air,23.941034442279168
SHP200399,2024-05-15,13,WH_W2,West,Road,21.40306089731297
SHP200400,2024-02-28,22,WH_N1,North,Road,26.416184765869275
SHP200401,2024-04-22,15,WH_N2,West,Road,26.58661643359528
SHP200402,2024-01-03,13,WH_S1,North,Air,29.763583829888013
SHP200403,2024-02-09,13,WH_E1,North,Air,19.897027492832823
SHP200404,2024-03-15,15,WH_S1,West,Air,22.140986601117458
SHP200405,2024-03-13,10,WH_N1,West,Air,23.104863417904266
SHP200406,2024-04-03,1,WH_N1,South,Air,20.08902173478525
SHP200407,2024-01-05,1,WH_N2,South,Road,26.394776347315354
